"tuning_time","measurement","gpu","kernel","time","size"
2462.858752,8.63348468145,"GTX-980","MatMulGPU","7200","8192"
18.073741,5.23300600052,"GTX-980","MatMulShared","7200","8192"
53.336513,4.86172596614,"GTX-980","MatMulShared","7200","8192"
74.326691,23.9342470169,"GTX-980","MatMulSharedUn","7200","8192"
114.025669,12.3662946224,"GTX-980","MatMulSharedUn","7200","8192"
193.285693,12.346506993,"GTX-980","MatMulSharedUn","7200","8192"
272.491162,12.3246210416,"GTX-980","MatMulSharedUn","7200","8192"
301.465819,8.79091199239,"GTX-980","MatMulSharedUn","7200","8192"
417.300079,8.79052996635,"GTX-980","MatMulSharedUn","7200","8192"
475.209085,8.77054198583,"GTX-980","MatMulSharedUn","7200","8192"
1617.230057,8.76712028186,"GTX-980","MatMulSharedUn","7200","8192"
2682.489154,8.76125939687,"GTX-980","MatMulSharedUn","7200","8192"
3014.338836,8.75071708361,"GTX-980","MatMulSharedUn","7200","8192"
4195.735271,8.74904505412,"GTX-980","MatMulSharedUn","7200","8192"
144.884714,47.4439300696,"GTX-980","MatMulUn","7200","8192"
435.034291,47.4134803613,"GTX-980","MatMulUn","7200","8192"
1538.390881,20.0855176449,"GTX-980","MatMulUn","7200","8192"
1600.837412,19.9719187419,"GTX-980","MatMulUn","7200","8192"
1870.67425,19.9169347286,"GTX-980","MatMulUn","7200","8192"
2139.893146,19.8561092218,"GTX-980","MatMulUn","7200","8192"
3139.269131,19.8517371019,"GTX-980","MatMulUn","7200","8192"
6081.29717,19.8127403259,"GTX-980","MatMulUn","7200","8192"
17.67019,2.53958400091,"GTX-980","myocyte","3600","default"
52.563859,2.0961356163,"GTX-980","myocyte","3600","default"
114.492721,1.44763533274,"GTX-980","myocyte","3600","default"
163.864232,1.44690775871,"GTX-980","myocyte","3600","default"
176.82376,1.43236144384,"GTX-980","myocyte","3600","default"
203.075898,1.41957100232,"GTX-980","myocyte","3600","default"
545.781327,1.40428932508,"GTX-980","myocyte","3600","default"
10.232001,9999,"GTX-980","myocyte","3600","default"
13.899161,9999,"GTX-980","myocyte","60","default"
27.306327,1.86684433619,"GTX-980","myocyte","60","default"
9.186843,9999,"GTX-980","myocyte","60","default"
34.669455,2.14445638657,"GTX-980","myocyte","60","default"
13.839898,1.90912826856,"GTX-980","myocyte","7200","default"
23.9149,1.43725442886,"GTX-980","myocyte","7200","default"
124.90837,1.43436765671,"GTX-980","myocyte","7200","default"
160.736469,1.42484474182,"GTX-980","myocyte","7200","default"
287.293942,1.42078002294,"GTX-980","myocyte","7200","default"
312.89651,1.41896239916,"GTX-980","myocyte","7200","default"
338.083385,1.41212169329,"GTX-980","myocyte","7200","default"
402.964274,1.40954931577,"GTX-980","myocyte","7200","default"
473.350077,1.37075901031,"GTX-980","myocyte","7200","default"
539.583955,1.36672767003,"GTX-980","myocyte","7200","default"
601.862813,1.3373383681,"GTX-980","myocyte","7200","default"
5.811804,1.04212800662,"GTX-980","needle","120","default"
11.348336,1.0284315745,"GTX-980","needle","120","default"
33.582767,1.01654569308,"GTX-980","needle","120","default"
67.090113,1.0095149676,"GTX-980","needle","120","default"
5.740612,1.03527164459,"GTX-980","needle","7200","default"
11.328151,1.01907261213,"GTX-980","needle","7200","default"
101.061243,1.01674874624,"GTX-980","needle","7200","default"
157.287491,1.01354130109,"GTX-980","needle","7200","default"
174.182739,1.01112659772,"GTX-980","needle","7200","default"
275.593956,1.00862709681,"GTX-980","needle","7200","default"
678.743197,1.00305565198,"GTX-980","needle","7200","default"
1117.421712,1.00156704585,"GTX-980","needle","7200","default"
2215.375787,0.999549309413,"GTX-980","needle","7200","default"
5.740612,1.03527164459,"GTX-980","Needle","7200","default"
11.328151,1.01907261213,"GTX-980","Needle","7200","default"
101.061243,1.01674874624,"GTX-980","Needle","7200","default"
157.287491,1.01354130109,"GTX-980","Needle","7200","default"
174.182739,1.01112659772,"GTX-980","Needle","7200","default"
275.593956,1.00862709681,"GTX-980","Needle","7200","default"
678.743197,1.00305565198,"GTX-980","Needle","7200","default"
1117.421712,1.00156704585,"GTX-980","Needle","7200","default"
2215.375787,0.999549309413,"GTX-980","Needle","7200","default"
0.131775,9999,"GTX-980","ParticleFilterFloat","7200","50000"
0.148318,9999,"GTX-980","ParticleFilterNaive","7200","50000"
5.962418,1.13261230787,"GTX-980","Pathfinder","120","default"
17.504579,1.10862112045,"GTX-980","Pathfinder","120","default"
34.684266,1.10237630208,"GTX-980","Pathfinder","120","default"
86.792444,1.10125597318,"GTX-980","Pathfinder","120","default"
121.36508,1.10034863154,"GTX-980","Pathfinder","120","default"
