"tuned_measurement","gpu","kernel","time","size","olevel","baseline_measurement","id"
8.73595881462,"GTX-980","MatMulGPU","7200","8192","-1",NA,"benchmark"
8.65443181992,"GTX-980","MatMulGPU","7200","8192","-1",NA,"benchmark"
8.63942289352,"GTX-980","MatMulGPU","7200","8192","-1",NA,"benchmark"
8.61996889114,"GTX-980","MatMulGPU","7200","8192","-1",NA,"benchmark"
8.67151093483,"GTX-980","MatMulGPU","7200","8192","-1",NA,"benchmark"
5.12304997444,"GTX-980","MatMulShared","7200","8192","-1",NA,"benchmark"
5.03422999382,"GTX-980","MatMulShared","7200","8192","-1",NA,"benchmark"
5.050096035,"GTX-980","MatMulShared","7200","8192","-1",NA,"benchmark"
5.07068395615,"GTX-980","MatMulShared","7200","8192","-1",NA,"benchmark"
5.10085296631,"GTX-980","MatMulShared","7200","8192","-1",NA,"benchmark"
8.80569696426,"GTX-980","MatMulSharedUn","7200","8192","-1",NA,"benchmark"
8.72387599945,"GTX-980","MatMulSharedUn","7200","8192","-1",NA,"benchmark"
8.73508191109,"GTX-980","MatMulSharedUn","7200","8192","-1",NA,"benchmark"
8.76932692528,"GTX-980","MatMulSharedUn","7200","8192","-1",NA,"benchmark"
8.73754715919,"GTX-980","MatMulSharedUn","7200","8192","-1",NA,"benchmark"
19.5609021187,"GTX-980","MatMulUn","7200","8192","-1",NA,"benchmark"
19.9081161022,"GTX-980","MatMulUn","7200","8192","-1",NA,"benchmark"
20.095842123,"GTX-980","MatMulUn","7200","8192","-1",NA,"benchmark"
20.1107690334,"GTX-980","MatMulUn","7200","8192","-1",NA,"benchmark"
20.0118839741,"GTX-980","MatMulUn","7200","8192","-1",NA,"benchmark"
1.17246699333,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.0995259285,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.11109995842,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.14895510674,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.11536598206,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.12061691284,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.11499500275,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.11768102646,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.11466002464,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.11234807968,"GTX-980","myocyte","3600","default","-1",NA,"benchmark"
1.4537858963,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.38093900681,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.39912986755,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.44931292534,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.43189001083,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.5538520813,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.46358203888,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.4812309742,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.41425895691,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.44732904434,"GTX-980","myocyte","60","default","-1",NA,"benchmark"
1.16588711739,"GTX-980","myocyte","7200","default","-1",NA,"benchmark"
1.1060090065,"GTX-980","myocyte","7200","default","-1",NA,"benchmark"
1.16020798683,"GTX-980","myocyte","7200","default","-1",NA,"benchmark"
1.11132502556,"GTX-980","myocyte","7200","default","-1",NA,"benchmark"
1.11583709717,"GTX-980","myocyte","7200","default","-1",NA,"benchmark"
1.09537291527,"GTX-980","myocyte","7200","default","-1",NA,"benchmark"
1.15466403961,"GTX-980","myocyte","7200","default","-1",NA,"benchmark"
1.0926618576,"GTX-980","myocyte","7200","default","-1",NA,"benchmark"
1.07568502426,"GTX-980","needle","120","default","-1",NA,"benchmark"
0.994841098785,"GTX-980","needle","120","default","-1",NA,"benchmark"
1.03220200539,"GTX-980","needle","120","default","-1",NA,"benchmark"
1.03144979477,"GTX-980","needle","120","default","-1",NA,"benchmark"
1.00279188156,"GTX-980","needle","120","default","-1",NA,"benchmark"
0.994361877441,"GTX-980","needle","120","default","-1",NA,"benchmark"
0.999270915985,"GTX-980","needle","120","default","-1",NA,"benchmark"
1.00076198578,"GTX-980","needle","120","default","-1",NA,"benchmark"
1.06764101982,"GTX-980","needle","7200","default","-1",NA,"benchmark"
1.00134992599,"GTX-980","needle","7200","default","-1",NA,"benchmark"
0.997558832169,"GTX-980","needle","7200","default","-1",NA,"benchmark"
0.997377872467,"GTX-980","needle","7200","default","-1",NA,"benchmark"
0.984576940536,"GTX-980","needle","7200","default","-1",NA,"benchmark"
1.01294493675,"GTX-980","needle","7200","default","-1",NA,"benchmark"
1.01447415352,"GTX-980","needle","7200","default","-1",NA,"benchmark"
1.00054001808,"GTX-980","needle","7200","default","-1",NA,"benchmark"
1.06764101982,"GTX-980","Needle","7200","default","-1",NA,"benchmark"
1.00134992599,"GTX-980","Needle","7200","default","-1",NA,"benchmark"
0.997558832169,"GTX-980","Needle","7200","default","-1",NA,"benchmark"
0.997377872467,"GTX-980","Needle","7200","default","-1",NA,"benchmark"
0.984576940536,"GTX-980","Needle","7200","default","-1",NA,"benchmark"
1.01294493675,"GTX-980","Needle","7200","default","-1",NA,"benchmark"
1.01447415352,"GTX-980","Needle","7200","default","-1",NA,"benchmark"
1.00054001808,"GTX-980","Needle","7200","default","-1",NA,"benchmark"
0.00681209564209,"GTX-980","ParticleFilterFloat","7200","50000","-1",NA,"benchmark"
0.00534701347351,"GTX-980","ParticleFilterFloat","7200","50000","-1",NA,"benchmark"
0.00538277626038,"GTX-980","ParticleFilterFloat","7200","50000","-1",NA,"benchmark"
0.00544714927673,"GTX-980","ParticleFilterFloat","7200","50000","-1",NA,"benchmark"
0.0056791305542,"GTX-980","ParticleFilterFloat","7200","50000","-1",NA,"benchmark"
0.00723385810852,"GTX-980","ParticleFilterNaive","7200","50000","-1",NA,"benchmark"
0.00534296035767,"GTX-980","ParticleFilterNaive","7200","50000","-1",NA,"benchmark"
0.00515604019165,"GTX-980","ParticleFilterNaive","7200","50000","-1",NA,"benchmark"
0.00479316711426,"GTX-980","ParticleFilterNaive","7200","50000","-1",NA,"benchmark"
0.00509285926819,"GTX-980","ParticleFilterNaive","7200","50000","-1",NA,"benchmark"
1.1566619873,"GTX-980","Pathfinder","120","default","-1",NA,"benchmark"
1.11233687401,"GTX-980","Pathfinder","120","default","-1",NA,"benchmark"
1.10198903084,"GTX-980","Pathfinder","120","default","-1",NA,"benchmark"
1.09594917297,"GTX-980","Pathfinder","120","default","-1",NA,"benchmark"
1.08088898659,"GTX-980","Pathfinder","120","default","-1",NA,"benchmark"
1.09910917282,"GTX-980","Pathfinder","120","default","-1",NA,"benchmark"
1.09747695923,"GTX-980","Pathfinder","120","default","-1",NA,"benchmark"
1.10007596016,"GTX-980","Pathfinder","120","default","-1",NA,"benchmark"
1.14590191841,"GTX-980","Pathfinder","7200","default","-1",NA,"benchmark"
1.11491107941,"GTX-980","Pathfinder","7200","default","-1",NA,"benchmark"
1.09859585762,"GTX-980","Pathfinder","7200","default","-1",NA,"benchmark"
1.14953804016,"GTX-980","Pathfinder","7200","default","-1",NA,"benchmark"
1.10146999359,"GTX-980","Pathfinder","7200","default","-1",NA,"benchmark"
1.14902210236,"GTX-980","Pathfinder","7200","default","-1",NA,"benchmark"
1.11408495903,"GTX-980","Pathfinder","7200","default","-1",NA,"benchmark"
1.11273288727,"GTX-980","Pathfinder","7200","default","-1",NA,"benchmark"
3.40388798714,"GTX-980","Quicksort","7200","65536","-1",NA,"benchmark"
3.03309988976,"GTX-980","Quicksort","7200","65536","-1",NA,"benchmark"
3.0494120121,"GTX-980","Quicksort","7200","65536","-1",NA,"benchmark"
3.04959797859,"GTX-980","Quicksort","7200","65536","-1",NA,"benchmark"
3.03236413002,"GTX-980","Quicksort","7200","65536","-1",NA,"benchmark"
5.1781039238,"GTX-980","SubSeqMax","7200","1073741824","-1",NA,"benchmark"
5.13776707649,"GTX-980","SubSeqMax","7200","1073741824","-1",NA,"benchmark"
5.14899015427,"GTX-980","SubSeqMax","7200","1073741824","-1",NA,"benchmark"
5.11739301682,"GTX-980","SubSeqMax","7200","1073741824","-1",NA,"benchmark"
5.15447688103,"GTX-980","SubSeqMax","7200","1073741824","-1",NA,"benchmark"
1.20199203491,"GTX-980","VecAdd","7200","4194304","-1",NA,"benchmark"
