"measurement","gpu","kernel","time","size","olevel","id"
0.0498628616333,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0506789684296,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0509691238403,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0508451461792,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0518610477448,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0514211654663,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0516040325165,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.051078081131,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0506319999695,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0489408969879,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0505089759827,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0642349720001,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0643501281738,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0631618499756,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0649318695068,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0653150081635,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0649449825287,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0637979507446,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0613100528717,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0620830059052,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0618290901184,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0642211437225,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0639989376068,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.064199924469,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0640051364899,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0632100105286,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0642700195312,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0632839202881,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0643401145935,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0659668445587,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.06454205513,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0628080368042,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0650820732117,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.061607837677,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0614171028137,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0626630783081,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0629069805145,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0644199848175,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0646839141846,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0625021457672,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0637428760529,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0628418922424,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0633461475372,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0644280910492,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0626950263977,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0650680065155,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0654549598694,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0630030632019,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0619039535522,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0685908794403,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.0615940093994,"GTX-680","MatMulShared","3600","256","-1","benchmark"
0.120752096176,"GTX-680","MatMulShared","3600","512","-1","benchmark"
0.117992162704,"GTX-680","MatMulShared","3600","512","-1","benchmark"
